City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Lazaro Cardenas,MX,2021-12-07 10:08:39,17.9583,-102.2,73.81,74,1,2.86
139,Rocha,UY,2021-12-07 10:08:40,-34.4833,-54.3333,62.13,83,0,5.37
140,Port Hedland,AU,2021-12-07 10:07:10,-20.3167,118.5667,95.05,41,6,9.22
141,Almansa,ES,2021-12-07 10:08:40,38.8692,-1.0971,55.62,57,65,9.73
142,Mar Del Plata,AR,2021-12-07 10:08:40,-38.0023,-57.5575,63.88,87,5,13.0
143,Zvishavane,ZW,2021-12-07 10:08:40,-20.3267,30.0665,94.69,25,32,4.34
144,Berlevag,NO,2021-12-07 10:08:41,70.8578,29.0864,21.2,58,0,28.77
145,Kizema,RU,2021-12-07 10:08:41,61.113,44.8302,11.26,89,100,7.45
146,Bambanglipuro,ID,2021-12-07 10:08:41,-7.95,110.2833,69.6,83,96,3.36
147,Hervey Bay,AU,2021-12-07 10:08:42,-25.2986,152.8535,77.04,79,55,10.31
148,Isangel,VU,2021-12-07 10:08:42,-19.55,169.2667,79.2,86,5,6.38
149,San Patricio,US,2021-12-07 10:08:42,28.017,-97.5169,59.83,43,100,7.63
150,Jamestown,US,2021-12-07 10:08:42,42.097,-79.2353,31.32,92,90,5.01
151,Tatarsk,RU,2021-12-07 10:08:43,55.219,75.9828,2.79,93,98,12.46
152,Magadan,RU,2021-12-07 10:08:43,59.5667,150.8,2.53,90,99,10.71
153,Arraial Do Cabo,BR,2021-12-07 10:05:46,-22.9661,-42.0278,75.06,83,75,6.91
154,Bethel,US,2021-12-07 10:08:44,41.3712,-73.414,39.04,62,1,1.01
155,Belmonte,BR,2021-12-07 10:08:44,-15.8631,-38.8828,77.5,85,100,7.85
156,Japura,ID,2021-12-07 10:08:44,-0.3167,102.35,81.52,85,95,2.42
157,Ocos,GT,2021-12-07 10:08:44,14.5094,-92.1933,81.0,80,0,6.2
158,Dikson,RU,2021-12-07 10:08:44,73.5069,80.5464,-11.6,100,99,4.61
159,Srednekolymsk,RU,2021-12-07 10:07:31,67.45,153.6833,-39.32,100,96,2.66
160,Victoria,HK,2021-12-07 10:04:26,22.2855,114.1577,73.18,69,27,1.01
161,Martinsicuro,IT,2021-12-07 10:08:45,42.8811,13.9145,50.94,61,36,17.9
162,Broken Hill,AU,2021-12-07 10:08:45,-31.95,141.4333,72.61,31,5,19.22
163,Tautira,PF,2021-12-07 10:08:46,-17.7333,-149.15,78.82,75,100,12.21
164,Paracuru,BR,2021-12-07 10:08:46,-3.41,-39.0306,82.42,71,22,12.77
165,Mandalgovi,MN,2021-12-07 10:08:46,45.7625,106.2708,24.31,22,95,8.01
166,Jiangyou,CN,2021-12-07 10:08:46,31.7667,104.7167,48.43,86,100,10.02
167,Kutum,SD,2021-12-07 10:08:46,14.2,24.6667,82.87,14,1,5.95
168,Biankouma,CI,2021-12-07 10:08:47,7.7391,-7.6138,85.14,48,9,1.07
169,Bonavista,CA,2021-12-07 10:08:47,48.6499,-53.1147,46.11,91,100,29.86
170,Kavaratti,IN,2021-12-07 10:08:47,10.5669,72.642,80.44,67,2,10.96
171,Faya,SA,2021-12-07 10:08:48,18.3851,42.4509,75.72,16,0,2.39
172,Medicine Hat,CA,2021-12-07 10:07:36,50.0501,-110.6683,4.84,87,74,5.41
173,Mamallapuram,IN,2021-12-07 10:08:48,12.6264,80.1722,88.05,67,15,12.48
174,Tasiilaq,GL,2021-12-07 10:08:48,65.6145,-37.6368,30.36,83,100,11.32
175,Zhigansk,RU,2021-12-07 10:08:49,66.7697,123.3711,-34.73,99,98,9.89
176,Pointe Michel,DM,2021-12-07 10:08:49,15.25,-61.3833,78.76,74,8,14.94
177,Marawi,PH,2021-12-07 10:08:49,7.9986,124.2928,72.64,98,99,3.8
178,Caconda,AO,2021-12-07 10:08:49,-13.7333,15.0667,75.67,55,78,4.81
179,Tuktoyaktuk,CA,2021-12-07 10:08:49,69.4541,-133.0374,15.8,82,100,13.38
180,Cidreira,BR,2021-12-07 10:04:53,-30.1811,-50.2056,69.22,57,55,10.94
181,Clyde River,CA,2021-12-07 10:09:50,70.4692,-68.5914,5.54,94,100,4.36
182,East Retford,GB,2021-12-07 10:09:50,53.3221,-0.9432,39.52,88,20,9.22
183,Hof,DE,2021-12-07 10:05:02,50.3167,11.9167,34.92,91,75,10.36
184,Coihaique,CL,2021-12-07 10:09:51,-45.5752,-72.0662,56.01,76,0,8.05
185,Tiksi,RU,2021-12-07 10:07:10,71.6872,128.8694,-22.0,91,100,8.32
186,Tuatapere,NZ,2021-12-07 10:09:51,-46.1333,167.6833,51.39,85,49,3.31
187,Yerbogachen,RU,2021-12-07 10:09:51,61.2767,108.0108,-0.53,99,100,2.24
