City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Stornoway,GB,58.2093,-6.3865,40.96,80,75,11.99,moderate rain
275,Gravdal,NO,68.1214,13.5031,24.69,54,40,8.05,scattered clouds
276,Kraslava,LV,55.8951,27.168,4.62,98,39,3.02,scattered clouds
277,Aguimes,ES,27.9054,-15.4461,65.03,73,0,13.8,clear sky
278,Bambanglipuro,ID,-7.95,110.2833,64.6,84,86,2.17,overcast clouds
279,San-Pedro,CI,4.7485,-6.6363,83.43,71,93,6.11,overcast clouds
280,Haines Junction,CA,60.7522,-137.5108,14.25,97,84,3.62,light snow
281,Sabang,ID,5.8933,95.3214,82.38,73,13,20.33,few clouds
282,Henties Bay,NA,-22.116,14.2845,64.85,77,3,9.64,clear sky
283,Llangefni,GB,53.2556,-4.3106,46.72,76,75,37.98,broken clouds
284,Rio Gallegos,AR,-51.6226,-69.2181,54.18,35,100,35.01,overcast clouds
285,Guerrero Negro,MX,27.9769,-114.0611,62.6,79,0,3.09,clear sky
286,Mnogovershinnyy,RU,53.9353,139.9242,0.21,81,14,7.54,few clouds
287,Reconquista,AR,-29.15,-59.65,90.18,25,1,12.15,clear sky
288,Leh,IN,34.1667,77.5833,13.69,58,98,3.67,overcast clouds
289,Jardim,BR,-21.4803,-56.1381,96.49,25,19,6.67,few clouds
290,Maksatikha,RU,57.797,35.8825,21.15,99,98,2.86,light snow
291,Vao,NC,-22.6667,167.4833,77.65,83,1,5.41,clear sky
292,Arlit,NE,18.7369,7.3853,84.15,9,2,7.74,clear sky
293,Isiro,CD,2.7739,27.616,77.63,62,98,1.16,overcast clouds
294,Kortkeros,RU,61.8106,51.5806,-4.0,100,76,3.11,broken clouds
295,Umm Kaddadah,SD,13.6017,26.6876,82.81,15,0,10.29,clear sky
296,Plettenberg Bay,ZA,-34.0527,23.3716,64.8,71,30,5.91,scattered clouds
297,Lorengau,PG,-2.0226,147.2712,81.46,84,100,16.35,overcast clouds
298,Fortuna,US,40.5982,-124.1573,50.36,76,90,1.99,overcast clouds
299,Samarai,PG,-10.6167,150.6667,80.82,80,59,4.41,broken clouds
300,Evensk,RU,61.95,159.2333,5.23,93,100,17.29,light snow
301,Sambava,MG,-14.2667,50.1667,78.08,78,1,10.38,clear sky
302,Ust-Tsilma,RU,65.441,52.1498,3.65,98,73,4.18,broken clouds
303,Dingle,PH,10.9995,122.6711,74.98,90,100,9.31,overcast clouds
304,Karachi,PK,24.9056,67.0822,69.62,32,0,8.05,haze
305,San Patricio,US,28.017,-97.5169,60.89,48,63,3.62,broken clouds
306,Codrington,AU,-38.2667,141.9667,52.34,60,61,14.52,broken clouds
307,Waddan,LY,29.1614,16.139,55.17,42,4,13.13,clear sky
308,Kieta,PG,-6.2167,155.6333,78.76,89,100,3.09,light rain
309,Kudamatsu,JP,34.0,131.8667,54.59,77,65,5.66,broken clouds
310,Vidisha,IN,23.5333,77.8167,65.53,55,0,6.67,clear sky
311,Lompoc,US,34.6391,-120.4579,56.12,89,90,3.44,overcast clouds
312,Tsaratanana,MG,-16.7833,47.65,83.57,43,6,14.0,clear sky
313,Fort Nelson,CA,58.8053,-122.7002,4.59,97,100,0.96,overcast clouds
314,Asyut,EG,27.181,31.1837,69.42,24,100,10.92,overcast clouds
315,Kangaba,ML,11.9333,-8.4167,95.85,9,74,6.44,broken clouds
316,Komsomolskiy,UZ,40.4272,71.7189,42.22,38,100,2.04,overcast clouds
317,Havoysund,NO,70.9963,24.6622,22.08,70,6,19.28,clear sky
318,Ossora,RU,59.2353,163.0719,18.52,81,100,9.48,overcast clouds
319,Porto Novo,BJ,6.4965,2.6036,87.62,64,78,8.79,broken clouds
320,Hokitika,NZ,-42.7167,170.9667,51.33,89,47,4.47,scattered clouds
321,Noyabrsk,RU,63.1994,75.4507,2.71,96,98,10.0,overcast clouds
322,Charyshskoye,RU,51.3978,83.5598,26.55,97,100,8.86,light snow
323,Bengkulu,ID,-3.8004,102.2655,76.59,88,69,3.89,broken clouds
324,Trelew,AR,-43.249,-65.3051,97.18,18,85,20.69,overcast clouds
325,Clyde River,CA,70.4692,-68.5914,-2.81,98,96,2.82,overcast clouds
326,Gasa,PS,31.5,34.4667,64.18,40,100,3.15,overcast clouds
327,Machali,CL,-34.1833,-70.6667,82.02,32,0,6.4,clear sky
328,Nchelenge,ZM,-9.3451,28.734,79.97,63,53,0.25,broken clouds
329,Ilulissat,GL,69.2167,-51.1,17.62,57,75,6.91,broken clouds
330,Navoi,UZ,40.0844,65.3792,35.08,87,1,2.3,mist
331,Grindavik,IS,63.8424,-22.4338,30.67,86,75,11.5,broken clouds
332,Kinkala,CG,-4.3614,14.7644,79.41,85,62,3.8,light rain
333,Mende,FR,44.6667,3.5,31.44,93,100,4.99,overcast clouds
334,Elko,US,41.0002,-115.5012,32.65,72,42,8.99,scattered clouds
335,Okhotsk,RU,59.3833,143.3,-21.15,88,9,15.79,clear sky
336,Erzin,TR,36.9559,36.2,63.12,54,0,11.36,clear sky
337,Aksu,CN,41.1231,80.2644,32.18,38,77,2.73,broken clouds
338,Oga,IT,46.4631,10.347,22.69,83,5,1.7,clear sky
339,Ust-Nera,RU,64.5667,143.2,-46.07,97,67,1.74,broken clouds
340,Nobres,BR,-14.7203,-56.3275,88.75,60,88,4.32,overcast clouds
341,La Palma,US,33.8464,-118.0467,59.81,89,90,1.99,mist
342,Progreso,MX,21.2833,-89.6667,80.71,66,4,4.79,clear sky
343,Birao,CF,10.2849,22.7882,87.75,17,6,5.14,clear sky
344,Tiznit,MA,29.5833,-9.5,67.68,18,73,7.27,broken clouds
345,Sennan,JP,34.3582,135.2837,54.84,82,75,21.85,broken clouds
346,Marawi,PH,7.9986,124.2928,68.65,93,100,2.46,overcast clouds
347,Burgeo,CA,47.6167,-57.6152,39.63,83,100,32.14,overcast clouds
348,Aquiraz,BR,-3.9014,-38.3911,89.22,61,31,15.41,scattered clouds
349,Oshnaviyeh,IR,37.0397,45.0983,34.05,51,99,2.64,overcast clouds
350,Kutum,SD,14.2,24.6667,78.22,17,1,9.19,clear sky
351,San Andres,CO,12.5847,-81.7006,81.97,79,13,21.61,few clouds
352,Yaan,NG,7.3833,8.5667,95.07,16,96,6.6,overcast clouds
353,Gisborne,NZ,-38.6533,178.0042,65.95,78,100,4.94,overcast clouds
354,Valday,RU,57.9747,33.2525,17.89,96,98,6.02,overcast clouds
355,Hervey Bay,AU,-25.2986,152.8535,75.04,89,59,4.72,broken clouds
356,Qarqin,AF,37.4185,66.0436,53.08,43,22,6.73,few clouds
357,Santa Isabel,BR,-23.3156,-46.2214,71.31,88,99,9.89,overcast clouds
358,Sociedad,SV,13.7,-88.0167,88.11,47,47,3.91,scattered clouds
359,Vila,PT,42.0304,-8.1588,47.34,94,100,9.04,light rain
360,Brae,GB,60.3964,-1.353,42.71,76,95,15.97,overcast clouds
361,Ponnani,IN,10.767,75.9252,81.72,81,5,4.36,clear sky
362,Tucupita,VE,9.0622,-62.051,81.54,79,59,5.21,broken clouds
363,Namatanai,PG,-3.6667,152.4333,78.55,88,100,5.14,moderate rain
364,Sergeyevka,KZ,53.88,67.4158,-5.55,97,6,5.26,clear sky
365,Olafsvik,IS,64.8945,-23.7142,34.41,51,86,6.71,overcast clouds
366,Touros,BR,-5.1989,-35.4608,86.9,60,21,15.97,few clouds
367,Antalaha,MG,-14.9003,50.2788,77.13,76,0,8.63,clear sky
368,Imbituba,BR,-28.24,-48.6703,75.09,55,76,8.88,broken clouds
369,Santa Maria,BR,-29.6842,-53.8069,82.72,31,0,11.81,clear sky
370,Stevens Point,US,44.5236,-89.5746,9.05,65,90,4.61,overcast clouds
371,Ishigaki,JP,24.3448,124.1572,69.35,63,100,21.07,overcast clouds
372,Port Shepstone,ZA,-30.7414,30.455,70.83,76,100,10.13,light rain
373,Akyab,MM,20.15,92.9,78.28,66,34,2.8,scattered clouds
374,Chipinge,ZW,-20.1883,32.6236,82.54,34,78,9.98,broken clouds
375,Rovaniemi,FI,66.5,25.7167,4.41,78,0,10.36,clear sky
376,Amazar,RU,53.858,120.875,1.51,99,63,1.54,broken clouds
377,Yubari,JP,43.0378,141.9578,30.7,92,100,3.74,overcast clouds
378,Chifeng,CN,42.2683,118.9636,30.97,29,1,4.79,clear sky
379,Tura,IN,25.5198,90.2201,64.08,87,6,3.04,clear sky
380,Jinchang,CN,38.4953,102.1739,30.56,30,100,5.06,overcast clouds
381,Shieli,KZ,44.1667,66.75,39.74,79,100,8.14,overcast clouds
382,Torbat-E Jam,IR,35.244,60.6225,46.04,39,0,1.88,clear sky
383,Mandalgovi,MN,45.7625,106.2708,20.71,27,0,5.46,clear sky
384,Honghu,CN,29.8206,113.4621,52.83,47,99,8.3,overcast clouds
385,Riviere-Au-Renard,CA,48.9957,-64.3971,26.1,60,8,24.81,clear sky
386,Labuhan,ID,-6.8844,112.2051,79.84,83,93,7.61,overcast clouds
387,Yuancheng,CN,36.652,107.7896,31.64,90,100,7.29,light snow
388,Paamiut,GL,61.994,-49.6678,7.32,74,10,10.13,clear sky
389,Maniitsoq,GL,65.4167,-52.9,17.47,71,85,17.2,overcast clouds
390,Abha,SA,18.2164,42.5053,59.25,82,0,5.75,clear sky
391,Hobyo,SO,5.3505,48.5268,78.82,68,66,16.87,broken clouds
392,Sikasso,ML,10.9167,-7.0,96.94,9,72,4.92,broken clouds
393,Tanout,NE,14.9709,8.8879,81.41,10,87,16.64,overcast clouds
394,Bauchi,NG,10.5,10.0,88.83,15,15,7.85,few clouds
395,Korla,CN,41.7597,86.1469,30.42,45,5,4.32,clear sky
396,Dwarka,IN,22.2394,68.9678,76.46,63,1,12.48,clear sky
397,Soyo,AO,-6.1349,12.3689,81.27,81,66,9.19,broken clouds
398,Hella,NO,67.2,14.4333,21.34,49,0,13.8,clear sky
399,Iqaluit,CA,63.7506,-68.5145,4.69,77,99,2.01,overcast clouds
400,Apt,FR,43.8833,5.4,47.84,66,100,4.41,overcast clouds
401,Xuddur,SO,4.1213,43.8894,83.23,36,93,9.06,overcast clouds
402,Kabo,CF,7.6994,18.629,91.87,18,100,4.16,overcast clouds
403,Lethem,GY,3.3803,-59.7968,86.54,61,80,6.89,broken clouds
404,Solano,US,38.2333,-121.9511,52.05,84,100,3.51,overcast clouds
405,Amahai,ID,-3.3333,128.9167,79.12,86,100,2.28,light rain
406,Nelson Bay,AU,-32.7167,152.15,68.09,86,81,6.24,broken clouds
407,Chalus,IR,36.655,51.4204,60.12,69,5,8.97,clear sky
408,Vestmanna,FO,62.1564,-7.1664,38.95,83,100,8.32,overcast clouds
409,Acapulco,MX,16.8634,-99.8901,82.63,63,1,0.98,clear sky
410,Midleton,IE,51.9153,-8.1805,44.65,82,97,38.79,light rain
411,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,77,20,10.36,few clouds
412,Berbera,SO,10.4396,45.0143,78.71,64,19,11.3,few clouds
413,Iquique,CL,-20.2208,-70.1431,69.84,64,41,8.23,scattered clouds
414,Magistralnyy,RU,56.1725,107.4458,31.28,82,100,5.5,overcast clouds
415,Grand Prairie,US,32.746,-96.9978,49.21,52,1,3.44,clear sky
416,Terracina,IT,41.2863,13.2217,49.03,55,0,3.0,clear sky
417,Ponta Do Sol,PT,32.6667,-17.1,67.71,64,96,5.32,overcast clouds
418,Manggar,ID,-2.8833,108.2667,78.66,87,100,8.63,overcast clouds
419,Villazon,BO,-22.0866,-65.5942,49.69,75,100,3.74,overcast clouds
420,Yerbogachen,RU,61.2767,108.0108,7.05,96,100,1.66,light snow
421,Flagstaff,US,35.1981,-111.6513,43.12,48,20,0.0,few clouds
422,Balikpapan,ID,-1.2675,116.8289,76.6,87,100,1.03,overcast clouds
423,Tabatinga,BR,-4.2525,-69.9381,82.49,74,75,6.91,broken clouds
424,Karratha,AU,-20.7377,116.8463,88.83,46,35,3.18,scattered clouds
425,Kijang,KR,35.2442,129.2139,50.58,65,58,11.97,broken clouds
426,Oudtshoorn,ZA,-33.5907,22.2014,69.13,63,71,10.22,broken clouds
427,Bendigo,AU,-36.7667,144.2833,48.85,48,0,8.68,clear sky
428,Dunedin,NZ,-45.8742,170.5036,50.14,92,25,2.73,scattered clouds
429,Chicama,PE,-7.8447,-79.1469,64.94,59,61,9.13,broken clouds
430,Cururupu,BR,-1.8283,-44.8683,85.46,69,35,7.49,scattered clouds
431,Lodwar,KE,3.1191,35.5973,89.98,28,100,11.36,overcast clouds
432,Ayan,RU,56.45,138.1667,16.09,51,21,13.65,few clouds
433,Gushikawa,JP,26.3544,127.8686,69.03,72,20,9.22,few clouds
434,Langham,CA,52.3668,-106.9679,-1.98,89,85,4.25,overcast clouds
435,Kaitangata,NZ,-46.2817,169.8464,46.56,96,43,3.53,scattered clouds
436,Kamina,CD,-8.7386,24.9906,74.75,73,66,2.62,broken clouds
437,Gouyave,GD,12.1646,-61.7296,86.77,62,20,19.57,few clouds
438,Kirundo,BI,-2.5833,30.1667,74.17,83,100,2.04,overcast clouds
439,Angoche,MZ,-16.2325,39.9086,81.63,80,2,12.97,clear sky
440,Faya,SA,18.3851,42.4509,59.52,57,2,4.81,clear sky
441,Eloi Mendes,BR,-21.61,-45.5653,74.73,63,46,4.68,scattered clouds
442,Lambarene,GA,-0.7001,10.2406,81.86,85,37,3.31,light rain
443,Tromso,NO,69.6496,18.957,19.42,58,0,11.5,clear sky
444,Nouadhibou,MR,20.931,-17.0347,70.14,54,9,10.31,clear sky
445,Vestmannaeyjar,IS,63.4427,-20.2734,34.79,75,20,6.91,few clouds
446,Port Hardy,CA,50.6996,-127.4199,48.76,89,100,14.94,overcast clouds
447,Griffith,US,41.5284,-87.4237,20.91,55,1,1.99,clear sky
448,Salalah,OM,17.0151,54.0924,78.89,44,0,3.44,clear sky
449,Oktyabrskoye,RU,43.0645,44.7417,32.14,100,75,4.47,fog
450,Riachao Do Jacuipe,BR,-11.8069,-39.3856,89.29,45,77,6.26,broken clouds
451,Jinja,UG,0.439,33.2032,73.51,64,100,6.08,overcast clouds
452,Umm Lajj,SA,25.0213,37.2685,77.58,60,78,1.19,broken clouds
453,Xihua,CN,33.7833,114.5167,43.45,56,100,6.04,overcast clouds
454,Gao,ML,16.6362,1.637,89.71,8,10,10.67,clear sky
455,Fort Morgan,US,40.2503,-103.8,36.25,60,1,5.75,clear sky
456,Zyryanka,RU,65.75,150.85,-23.98,96,100,12.8,overcast clouds
457,Surt,LY,31.2089,16.5887,63.09,53,64,28.21,broken clouds
458,Kaseda,JP,31.4167,130.3167,54.97,74,0,16.24,clear sky
459,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,84.29,71,35,3.53,scattered clouds
460,Novoilinsk,RU,51.6829,108.7143,7.02,94,56,2.1,broken clouds
461,Formosa,AR,-26.1775,-58.1781,87.78,45,40,11.5,scattered clouds
462,Le Port,RE,-20.9373,55.2919,78.8,76,61,4.21,broken clouds
463,Margate,GB,51.3813,1.3862,46.11,91,100,13.0,light rain
464,Axim,GH,4.8699,-2.2405,83.57,71,95,7.49,overcast clouds
465,Solnechnyy,RU,50.7214,136.6319,5.94,83,37,3.89,scattered clouds
466,Fuerte Olimpo,PY,-21.0415,-57.8738,97.99,26,4,8.01,clear sky
467,Puerto Rico,AR,-26.796,-55.024,92.71,27,8,3.89,clear sky
468,Kirakira,SB,-10.4544,161.9205,79.45,90,100,10.63,moderate rain
469,Lasa,IT,46.6166,10.7002,29.62,79,4,3.38,clear sky
470,Cabo San Lucas,MX,22.8909,-109.9124,76.51,67,75,0.0,broken clouds
471,Flin Flon,CA,54.7682,-101.865,-7.96,96,62,3.2,broken clouds
472,Mukhen,RU,48.1,136.1,12.52,92,38,4.83,scattered clouds
473,Kauhajoki,FI,62.4333,22.1833,-11.22,98,60,1.43,broken clouds
474,Raahe,FI,64.6833,24.4833,3.29,94,37,5.03,scattered clouds
475,Lisala,CD,2.15,21.5167,80.06,72,82,3.22,broken clouds
476,Wattegama,LK,6.7989,81.4808,77.92,87,86,4.23,overcast clouds
