City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Nobres,BR,88.75,overcast clouds,-14.7203,-56.3275,Hotel Portal Nobres
341,La Palma,US,59.81,mist,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
342,Progreso,MX,80.71,clear sky,21.2833,-89.6667,Playa Linda Hotel
345,Sennan,JP,54.84,broken clouds,34.3582,135.2837,株式会社ウインド幸樹
346,Marawi,PH,68.65,overcast clouds,7.9986,124.2928,Derogongan Residence
348,Aquiraz,BR,89.22,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
350,Kutum,SD,78.22,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
351,San Andres,CO,81.97,few clouds,12.5847,-81.7006,Hotel Arena Blanca
353,Gisborne,NZ,65.95,overcast clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
355,Hervey Bay,AU,75.04,broken clouds,-25.2986,152.8535,Shelly Bay Resort
357,Santa Isabel,BR,71.31,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
361,Ponnani,IN,81.72,clear sky,10.767,75.9252,Rouba Residency
362,Tucupita,VE,81.54,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
363,Namatanai,PG,78.55,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
366,Touros,BR,86.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
367,Antalaha,MG,77.13,clear sky,-14.9003,50.2788,Hotel Vitasoa
368,Imbituba,BR,75.09,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
369,Santa Maria,BR,82.72,clear sky,-29.6842,-53.8069,Hotel Morotin
371,Ishigaki,JP,69.35,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
372,Port Shepstone,ZA,70.83,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
373,Akyab,MM,78.28,scattered clouds,20.15,92.9,Hotel Memory
374,Chipinge,ZW,82.54,broken clouds,-20.1883,32.6236,Chipinge Breeze Lodge
379,Tura,IN,64.08,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
384,Honghu,CN,52.83,overcast clouds,29.8206,113.4621,文泉花园酒店
386,Labuhan,ID,79.84,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
390,Abha,SA,59.25,clear sky,18.2164,42.5053,Abha Hotel
391,Hobyo,SO,78.82,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
396,Dwarka,IN,76.46,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
397,Soyo,AO,81.27,broken clouds,-6.1349,12.3689,Hotel Mpampa
401,Xuddur,SO,83.23,overcast clouds,4.1213,43.8894,Banjanay Hotel
403,Lethem,GY,86.54,broken clouds,3.3803,-59.7968,Savannah Inn
404,Solano,US,52.05,overcast clouds,38.2333,-121.9511,Westwind Inn
405,Amahai,ID,79.12,light rain,-3.3333,128.9167,HOTEL ISABELA
406,Nelson Bay,AU,68.09,broken clouds,-32.7167,152.15,Mantra Nelson Bay
